id	categoria	nome	dir	repo	run	desc
125	wireless	Airflood	airflood	https://github.com/Seabreg/airflood.git	-	Testes e automação 802.11.
126	wireless	apnbf	apnbf	https://github.com/Seabreg/apnbf.git	-	Ferramenta auxiliar para testes Wi-Fi.
127	wireless	AtEar	atear	https://github.com/NORMA-Inc/AtEar.git	-	Testes em protocolos wireless.

# =========================
# Bluetooth (200–299)
# =========================
201	bluetooth	Bluelog	bluelog	https://github.com/MS3FGX/Bluelog.git	bluelog	Scanner/logger Bluetooth.
202	bluetooth	BlueMaho	bluemaho	https://github.com/zenware/bluemaho.git	-	Suite de auditoria Bluetooth.
203	bluetooth	Bluepot	bluepot	https://github.com/andrewmichaelsmith/bluepot.git	python3 ./bluepot.py	Honeypot Bluetooth.
204	bluetooth	redfang	redfang	https://github.com/daoc/redfang.git	redfang -h	Scanner Bluetooth por range de endereços.
205	bluetooth	Spooftooph	spooftooph	https://github.com/pwnieexpress/pwn_plug_sources.git	-	Spoofing Bluetooth.
206	bluetooth	BlueRanger	blueranger	https://github.com/BlackArch/blackarch/tree/master/packages/blueranger	-	Ferramenta Bluetooth (link não clonável direto).

# =========================
# Radio / SDR (300–399)
# =========================
301	radio	Multimon-NG	multimon-ng	https://github.com/EliasOenal/multimon-ng.git	multimon-ng -h	Decoder de sinais digitais (FSK, POCSAG, DTMF).
302	radio	RTLSDR-Scanner	rtlsdr-scanner	https://github.com/EarToEarOak/RTLSDR-Scanner.git	-	GUI para varredura/análise com RTL-SDR.
303	radio	kalibrate-rtl	kalibrate-rtl	https://github.com/steve-m/kalibrate-rtl.git	-	Calibração e scan com RTL-SDR.
304	radio	gr-scan	gr-scan	https://github.com/briand/gr-scan.git	-	Scanner baseado em GNU Radio.
305	radio	KillerBee	killerbee	https://github.com/riverloopsec/killerbee.git	-	Auditoria ZigBee / 802.15.4.
306	radio	Multimon-NG (raw)	multimon-ng	https://github.com/EliasOenal/multimon-ng.git	multimon-ng -a DTMF -	Decodificação direta de streams (ex.: pipe SDR).

# =========================
# NFC / RFID (400–499)
# =========================
401	nfc	mfcuk	mfcuk	https://github.com/nfc-tools/mfcuk.git	mfcuk -h	Auditoria MIFARE Classic.
402	nfc	mfoc	mfoc	https://github.com/nfc-tools/mfoc.git	mfoc -h	Auditoria MIFARE Classic (offline).
403	nfc	mfterm	mfterm	https://github.com/4ZM/mfterm.git	-	Terminal para interação com NFC/MIFARE.

# =========================
# Mesh / Infra (500–599)
# =========================
501	mesh	batctl	batctl	https://github.com/open-mesh-mirror/batctl.git	-	Controle de redes mesh BATMAN-adv.
502	mesh	batman-adv	batman-adv	https://github.com/open-mesh-mirror/batman-adv.git	-	Implementação BATMAN-adv (kernel).
503	mesh	batman-alfred	batman-alfred	https://github.com/nomaster/aur-batman-alfred.git	-	ALFRED (serviço auxiliar para BATMAN).
504	radius	FreeRADIUS	freeradius	https://github.com/FreeRADIUS/freeradius-server.git	-	Servidor RADIUS para labs 802.1X/EAP.
